segment_id,study_area,failure_mode,district,centroid_lat,centroid_lon,seg_length_m,pre_NDVI,pre_LSWI,pre_NDWI,pre_slope,pre_aspect,pre_TWI,base_NDVI,base_LSWI,base_NDWI,NDVI_anomaly,LSWI_anomaly,NDWI_anomaly,S1_VV,S1_VH,S1_ratio,S1_flood_proxy,rain_1d,rain_3d,rain_7d,rain_30d,rain_1d_anom,rain_30d_anom,canal_type_encoded,label,OT_risk,SP_risk,SL_risk,V_score_physical,cv_group,V_score_ml,V_score_final,alert_tier
Budameru_Krishna_0034,Budameru_Krishna,overtopping,Krishna,16.608967651223814,80.55035814413327,200.0,0.2277106994044372,0.1600604969204396,-0.167552836101917,2.058934442080835,181.8997776058789,3.4050846786815843,0.4731537159871137,0.223209991087233,-0.4625259239525411,-0.2454430165826764,-0.0631494941667934,0.294973087850624,-10.585498612564546,-17.64957434524824,7.064075732683702,0.1482754177226063,143.64,169.95,170.31,247.68,143.64,140.05,1,1,0.8754024557996366,0.39519212536131004,0.5651299475949428,0.6297607130950489,Budameru,0.93973917,0.784749940392663,RED
Budameru_Krishna_0035,Budameru_Krishna,overtopping,Krishna,16.60733784174535,80.54969800067101,200.0,0.1829871469076428,0.1466706378784694,-0.1277635542659252,1.6135924207269912,117.00507540603245,3.824058999759453,0.5429386487352461,0.2454749529045881,-0.5150747200652611,-0.3599515018276032,-0.0988043150261186,0.3873111657993359,-11.202869334200717,-18.20803822369872,7.005168889498004,0.1862473416253142,143.64,169.95,170.31,247.9,143.64,140.23000000000002,1,1,0.9096199828035993,0.3401022850983141,0.6544141849917546,0.6464873391537884,Budameru,0.93973917,0.7931132534220328,RED
Budameru_Krishna_0036,Budameru_Krishna,overtopping,Krishna,16.60619232926877,80.54836700703255,200.0,0.1954348802094767,0.1812298698129537,-0.145191190367767,1.8183663605606568,171.37994200096662,3.6754174072610017,0.5554210428736279,0.2593756276756476,-0.514441160990649,-0.3599861626641512,-0.0781457578626938,0.3692499706228819,-9.704738427720992,-16.138817003944993,6.434078576223996,0.0973964598728304,143.64,169.95,170.31,248.18,143.64,140.53,1,1,0.88132480207187,0.43022020435960173,0.6388230611174294,0.6628127576339659,Budameru,0.93973917,0.8012759626621215,RED
Budameru_Krishna_0037,Budameru_Krishna,overtopping,Krishna,16.605434309104712,80.54668867154622,200.0,0.2236294415314024,0.210338765435407,-0.1763176331807331,1.9558133913463864,152.2289098380469,3.600540881857824,0.4735051846540151,0.2695565826665099,-0.4410075447825647,-0.2498757431226127,-0.0592178172311028,0.2646899116018315,-9.476427134868867,-15.357810805855788,5.881383670986926,0.1468508928379569,143.64,169.95,170.31,248.53,143.64,140.89,1,1,0.8671064878148939,0.48917724741447155,0.5901093013325687,0.6655819570541648,Budameru,0.93973917,0.8026605623722209,RED
Budameru_Krishna_0038,Budameru_Krishna,overtopping,Krishna,16.60453269595913,80.54508941147901,200.0,0.1649677644321345,0.1722382713212705,-0.1170786885066451,2.381778637022716,148.9285645239245,3.5428782700924457,0.2539654636935396,0.305869233039938,-0.2383834210140715,-0.0889976992614051,-0.1336309617186675,0.1213047325074263,-9.550776327892564,-16.007495544738674,6.456719216846112,0.1392630787410033,143.64,169.95,170.31,248.87,143.64,141.25,1,1,0.8276029879535536,0.3747140497076562,0.5293494031844156,0.594528463375205,Budameru,0.93973917,0.7671338155327411,RED
Budameru_Krishna_0039,Budameru_Krishna,overtopping,Krishna,16.603418365065664,80.54361362980387,200.0,0.1335909862457659,0.1714672762629801,-0.0973706741582706,3.644821419941037,165.57092455657047,2.9239831451346574,0.2334557836602414,0.2977675645523329,-0.2330455074096166,-0.0998647974144755,-0.1263002882893528,0.135674833251346,-9.34101962760444,-16.101881791207862,6.760862163603421,0.09869834178194,143.64,169.95,170.31,249.16,143.64,141.54,1,1,0.8205981653291172,0.37905508027522816,0.4753666598984095,0.5797502092025791,Budameru,0.93973917,0.7597446884464281,RED
Budameru_Krishna_0040,Budameru_Krishna,overtopping,Krishna,16.60209058252539,80.54239749557081,200.0,0.1545126356567363,0.176934931849017,-0.1169360178757015,3.2097195357833663,172.70212765957444,3.0096510564385355,0.3923195085320163,0.2162556190719391,-0.3736401618817172,-0.23780687287528,-0.039320687222922,0.2567041440060156,-9.20418429392818,-15.436224372661728,6.232040078733549,0.1156390977443608,143.64,169.95,170.31,249.55,143.64,141.86,1,1,0.8567377618050296,0.47592040676385583,0.530931637876265,0.6420001565584276,Budameru,0.93973917,0.7908696621243523,RED
Budameru_Krishna_0041,Budameru_Krishna,overtopping,Krishna,16.60053015329877,80.54147614190175,200.0,0.2116671856481057,0.183109149425069,-0.1768924075919193,2.5038669760247485,167.0211716937355,3.344969066865452,0.3296438652017129,0.1812459495599974,-0.3129055404914522,-0.1179766795536071,0.0018631998650715,0.1360131328995328,-6.949049565611948,-13.910768658491076,6.961719092879128,0.0350997787468047,143.64,169.95,170.31,249.98,143.64,142.24,1,1,0.8038134572200035,0.5484062455935443,0.516945946866445,0.6427040555623532,Budameru,0.93973917,0.7912216116263151,RED
Budameru_Krishna_0042,Budameru_Krishna,overtopping,Krishna,16.599067947835696,80.54040355401456,200.0,0.2097319427816147,0.1715838186544617,-0.1685662183869527,3.956200145032633,150.61169929900896,3.0600858205275494,0.2585303835536657,0.1607255189538507,-0.2390724287778371,-0.0487984407720509,0.010858299700611,0.0705062103908844,-8.077598015840971,-14.145025655256084,6.067427639415119,0.0431495521811035,143.64,169.95,170.31,250.15,143.64,142.41000000000005,1,1,0.7888212657009808,0.5416663504074408,0.47882628381159903,0.6248182998758963,Budameru,0.93973917,0.7822787337830868,RED
Budameru_Krishna_0043,Budameru_Krishna,overtopping,Krishna,16.59783624535879,80.539038037238,200.0,0.1601259581286538,0.1300833917070112,-0.1373102340304978,5.495892132225015,146.31533926155038,2.604778629545586,0.1319086075314542,0.1341838107628237,-0.1269304263494887,0.0282173505971995,-0.0041004190558124,-0.0103798076810091,-7.136930240155921,-13.697204159291964,6.560273919136052,0.0547798066595059,143.64,169.95,170.31,250.39,143.64,142.67,1,1,0.7707578861085423,0.49893190064177056,0.41738874940307313,0.587276507018805,Budameru,0.93973917,0.763507837354541,RED
